Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IT-en_2018-03-23-LEG18-Senato-sed-1	ParlaMint-IT_2018-03-23-LEG18-Senato-sed-1.ana.u1	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 1, Day (2018-03-23)	2018-03-23	Upper house	18 Legislatura	-	-	1 Seduta	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	NapolitanoGiorgio	Napolitano, Giorgio	M	1925
ParlaMint-IT-en_2018-03-23-LEG18-Senato-sed-1	ParlaMint-IT_2018-03-23-LEG18-Senato-sed-1.ana.u2	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 1, Day (2018-03-23)	2018-03-23	Upper house	18 Legislatura	-	-	1 Seduta	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	NapolitanoGiorgio	Napolitano, Giorgio	M	1925
ParlaMint-IT-en_2018-03-23-LEG18-Senato-sed-1	ParlaMint-IT_2018-03-23-LEG18-Senato-sed-1.ana.u15	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 1, Day (2018-03-23)	2018-03-23	Upper house	18 Legislatura	-	-	1 Seduta	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	NapolitanoGiorgio	Napolitano, Giorgio	M	1925
ParlaMint-IT-en_2018-03-23-LEG18-Senato-sed-1	ParlaMint-IT_2018-03-23-LEG18-Senato-sed-1.ana.u16	Report of the session of the Senate of the Italian Republic, Term 18, Sitting 1, Day (2018-03-23)	2018-03-23	Upper house	18 Legislatura	-	-	1 Seduta	-	Reference	English	Chairperson	MP	notMinister	-	-	-	-	NapolitanoGiorgio	Napolitano, Giorgio	M	1925
