Country	PersonID	Role	From	To	GovtTermID	MinistryID	Name-xx	Name-en	URL	Comment
CZ	AdamVojtech.1986	minister	2021-05-26T12:00:00	2021-12-17T11:00:00	government.VladaCR.1494	-	Ministr zdravotnictví	Minister of Health	-	-
CZ	AdamVojtech.1986	minister	2018-06-27T09:00:00	2020-09-21T12:00:00	government.VladaCR.1494	-	Ministr zdravotnictví	Minister of Health	-	-
CZ	AdamVojtech.1986	minister	2017-12-13T14:00:00	2018-06-27T00:00:00	government.VladaCR.1338	-	Ministr zdravotnictví	Minister of Health	-	-
CZ	AlenaSchillerova.1964	minister	2018-06-27T09:00:00	2021-12-17T11:00:00	government.VladaCR.1494	-	Ministr financí	Minister of Finance	-	-
CZ	AlenaSchillerova.1964	minister	2017-12-13T14:00:00	2018-06-27T00:00:00	government.VladaCR.1338	-	Ministr financí	Minister of Finance	-	-
CZ	AndrejBabis.1954	minister	2014-01-29T14:00:00	2017-05-24T17:00:00	government.VladaCR.1164	-	Ministr financí	Minister of Finance	-	-
CZ	AnnaHubackova.1957	minister	2021-12-17T11:00:00	-	government.VladaCR.1628	-	Ministr životního prostředí	Minister for the Environment	-	-
CZ	AntoninPrachar.1962	minister	2014-01-29T14:00:00	2014-11-13T12:00:00	government.VladaCR.1164	-	Ministr dopravy	Minister of Transport	-	-
CZ	AntoninStanek.1966	minister	2018-06-27T09:00:00	2019-07-31T00:00:00	government.VladaCR.1494	-	Ministr kultury	Minister of Culture	-	-
CZ	BohuslavSobotka.1971	minister	2017-03-01T00:00:00	2017-04-04T12:00:00	government.VladaCR.1164	-	Ministr průmyslu a obchodu	Minister of Industry and Trade	-	-
CZ	BohuslavSobotka.1971	minister	2005-04-25T17:00:00	2006-08-16T16:00:00	government.VladaCR.740	-	Ministr financí	Minister of Finance	-	-
CZ	BohuslavSobotka.1971	minister	2004-08-04T11:00:00	2005-04-25T09:00:00	government.VladaCR.731	-	Ministr financí	Minister of Finance	-	-
CZ	BohuslavSobotka.1971	minister	2002-07-15T00:00:00	2004-08-04T11:00:00	government.VladaCR.603	-	Ministr financí	Minister of Finance	-	-
CZ	DaliborStys.1962	minister	2013-07-10T11:00:00	2014-01-29T14:00:00	government.VladaCR.1103	-	Ministr školství, mládeže a tělovýchovy	Minister for Education, Youth and Sports	-	-
CZ	DanTok.1959	minister	2018-06-27T09:00:00	2019-04-30T12:00:00	government.VladaCR.1494	-	Ministr dopravy	Minister of Transport	-	-
CZ	DanTok.1959	minister	2017-12-13T14:00:00	2018-06-27T00:00:00	government.VladaCR.1338	-	Ministr dopravy	Minister of Transport	-	-
CZ	DanTok.1959	minister	2014-12-04T11:00:00	2017-12-13T00:00:00	government.VladaCR.1164	-	Ministr dopravy	Minister of Transport	-	-
CZ	DanielHerman.1963	minister	2014-01-29T14:00:00	2017-12-13T00:00:00	government.VladaCR.1164	-	Ministr kultury	Minister of Culture	-	-
CZ	FrantisekBublan.1951	minister	2005-04-25T17:00:00	2006-08-16T16:00:00	government.VladaCR.740	-	Ministr vnitra	Minister of the Interior	-	-
CZ	FrantisekBublan.1951	minister	2004-08-04T11:00:00	2005-04-25T09:00:00	government.VladaCR.731	-	Ministr vnitra	Minister of the Interior	-	-
CZ	FrantisekLukl.1977	minister	2013-07-10T11:00:00	2014-01-29T14:00:00	government.VladaCR.1103	-	Ministr pro místní rozvoj	Minister of Regional Development	-	-
CZ	HelenaLangsadlova.1963	minister	2021-12-17T11:00:00	-	government.VladaCR.1628	-	Ministr pro vědu a výzkum	Minister of Science, Research and Innovation	-	-
CZ	HelenaValkova.1951	minister	2014-01-29T14:00:00	2015-03-01T00:00:00	government.VladaCR.1164	-	Ministr spravedlnosti	Minister of Justice	-	-
CZ	IljaSmid.1952	minister	2017-12-13T14:00:00	2018-06-27T00:00:00	government.VladaCR.1338	-	Ministr kultury	Minister of Culture	-	-
CZ	IvanBartos.1980	minister	2021-12-17T11:00:00	-	government.VladaCR.1628	-	Ministr pro místní rozvoj	Minister of Regional Development	-	-
CZ	IvanPilny.1944	minister	2017-05-24T17:00:00	2017-12-13T00:00:00	government.VladaCR.1164	-	Ministr financí	Minister of Finance	-	-
CZ	JakubKulhanek.1984	minister	2021-04-21T14:00:00	2021-12-17T11:00:00	government.VladaCR.1494	-	Ministr zahraničních věcí	Minister of Foreign Affairs	-	-
CZ	JanBlatny.1970	minister	2020-10-29T12:00:00	2021-04-07T12:00:00	government.VladaCR.1494	-	Ministr zdravotnictví	Minister of Health	-	-
CZ	JanChvojka.1980	minister	2016-12-01T00:00:00	2017-12-13T00:00:00	government.VladaCR.1164	-	Ministr pro lidská práva, rovné příležitosti a legislativu	Minister for Human Rights, Equal Opportunities and Legislation	-	-
CZ	JanFischer.1951	minister	2013-07-10T11:00:00	2014-01-29T14:00:00	government.VladaCR.1103	-	Ministr financí	Minister of Finance	-	-
CZ	JanHamacek.1978	minister	2021-04-12T14:00:00	2021-04-21T14:00:00	government.VladaCR.1494	-	Ministr zahraničních věcí	Minister of Foreign Affairs	-	-
CZ	JanHamacek.1978	minister	2018-06-27T09:00:00	2018-10-16T12:00:00	government.VladaCR.1494	-	Ministr zahraničních věcí	Minister of Foreign Affairs	-	-
CZ	JanHamacek.1978	minister	2018-06-27T09:00:00	2021-12-17T11:00:00	government.VladaCR.1494	-	Ministr vnitra	Minister of the Interior	-	-
CZ	JanKnezinek.1979	minister	2018-07-10T17:00:00	2019-04-30T12:00:00	government.VladaCR.1494	-	Ministr spravedlnosti	Minister of Justice	-	-
CZ	JanLipavsky.1985	minister	2021-12-17T11:00:00	-	government.VladaCR.1628	-	Ministr zahraničních věcí	Minister of Foreign Affairs	-	-
CZ	JanMladek.1960	minister	2014-01-29T14:00:00	2017-02-28T23:00:00	government.VladaCR.1164	-	Ministr průmyslu a obchodu	Minister of Industry and Trade	-	-
CZ	JanMladek.1960	minister	2005-11-16T11:00:00	2006-08-16T16:00:00	government.VladaCR.740	-	Ministr zemědělství	Minister of Agriculture	-	-
CZ	JanaCernochova.1973	minister	2021-12-17T11:00:00	-	government.VladaCR.1628	-	Ministr obrany	Minister of Defence	-	-
CZ	JanaMalacova.1981	minister	2018-07-30T15:00:00	2021-12-17T11:00:00	government.VladaCR.1494	-	Ministr práce a sociálních věcí	Minister of Labour and Social Affairs	-	-
CZ	JaroslavaNemcova.1971	minister	2017-12-13T14:00:00	2018-06-27T00:00:00	government.VladaCR.1338	-	Ministr práce a sociálních věcí	Minister of Labour and Social Affairs	-	-
CZ	JiriCienciala.1950	minister	2013-07-10T11:00:00	2014-01-29T14:00:00	government.VladaCR.1103	-	Ministr průmyslu a obchodu	Minister of Industry and Trade	-	-
CZ	JiriCunek.1959	minister	2008-04-02T00:00:00	2009-01-23T11:00:00	government.VladaCR.849	-	Ministr pro místní rozvoj	Minister of Regional Development	-	-
CZ	JiriCunek.1959	minister	2007-01-09T11:00:00	2007-11-13T00:00:00	government.VladaCR.849	-	Ministr pro místní rozvoj	Minister of Regional Development	-	-
CZ	JiriDienstbier.1969	minister	2014-01-29T14:00:00	2016-11-30T23:00:00	government.VladaCR.1164	-	Ministr pro lidská práva, rovné příležitosti a legislativu	Minister for Human Rights, Equal Opportunities and Legislation	-	-
CZ	JiriHavlicek.1976	minister	2017-04-04T12:00:00	2017-12-13T00:00:00	government.VladaCR.1164	-	Ministr průmyslu a obchodu	Minister of Industry and Trade	-	-
CZ	JiriMilek.1963	minister	2017-12-13T14:00:00	2018-06-27T00:00:00	government.VladaCR.1338	-	Ministr zemědělství	Minister of Agriculture	-	-
CZ	JiriPospisil.1975	minister	2010-07-13T00:00:00	2012-06-27T00:00:00	government.VladaCR.951	-	Ministr spravedlnosti	Minister of Justice	-	-
CZ	JiriPospisil.1975	minister	2007-01-09T11:00:00	2009-05-08T16:00:00	government.VladaCR.849	-	Ministr spravedlnosti	Minister of Justice	-	-
CZ	JiriPospisil.1975	minister	2006-09-04T14:00:00	2007-01-09T11:00:00	government.VladaCR.757	-	Ministr spravedlnosti	Minister of Justice	-	-
CZ	JiriRusnok.1960	minister	2002-07-15T00:00:00	2003-03-19T00:00:00	government.VladaCR.603	-	Ministr průmyslu a obchodu	Minister of Industry and Trade	-	-
CZ	JiriRusnok.1960	minister	2001-04-13T00:00:00	2002-07-14T00:00:00	government.VladaCR.149	-	Ministr financí	Minister of Finance	-	-
CZ	JozefSikela.1967	minister	2021-12-17T11:00:00	-	government.VladaCR.1628	-	Ministr průmyslu a obchodu	Minister of Industry and Trade	-	-
CZ	KarelHavlicek.1969	minister	2020-01-24T00:00:00	2021-12-17T11:00:00	government.VladaCR.1494	-	Ministr dopravy	Minister of Transport	-	-
CZ	KarelHavlicek.1969	minister	2019-04-30T12:00:00	2021-12-17T11:00:00	government.VladaCR.1494	-	Ministr průmyslu a obchodu	Minister of Industry and Trade	-	-
CZ	KarelSchwarzenberg.1937	minister	2010-07-13T00:00:00	2013-07-10T11:00:00	government.VladaCR.951	-	Ministr zahraničních věcí	Minister of Foreign Affairs	-	-
CZ	KarelSchwarzenberg.1937	minister	2007-01-09T11:00:00	2009-05-08T16:00:00	government.VladaCR.849	-	Ministr zahraničních věcí	Minister of Foreign Affairs	-	-
CZ	KarlaSlechtova.1977	minister	2017-12-13T14:00:00	2018-06-27T00:00:00	government.VladaCR.1338	-	Ministr obrany	Minister of Defence	-	-
CZ	KarlaSlechtova.1977	minister	2014-10-08T12:00:00	2017-12-13T00:00:00	government.VladaCR.1164	-	Ministr pro místní rozvoj	Minister of Regional Development	-	-
CZ	KaterinaValachova.1976	minister	2015-06-17T11:00:00	2017-06-21T16:00:00	government.VladaCR.1164	-	Ministr školství, mládeže a tělovýchovy	Minister for Education, Youth and Sports	-	-
CZ	KlaraDostalova.1971	minister	2018-06-27T09:00:00	2021-12-17T11:00:00	government.VladaCR.1494	-	Ministr pro místní rozvoj	Minister of Regional Development	-	-
CZ	KlaraDostalova.1971	minister	2017-12-13T14:00:00	2018-06-27T00:00:00	government.VladaCR.1338	-	Ministr pro místní rozvoj	Minister of Regional Development	-	-
CZ	LeosHeger.1948	minister	2010-07-13T00:00:00	2013-07-10T11:00:00	government.VladaCR.951	-	Ministr zdravotnictví	Minister of Health	-	-
CZ	LubomirMetnar.1967	minister	2018-06-27T09:00:00	2021-12-17T11:00:00	government.VladaCR.1494	-	Ministr obrany	Minister of Defence	-	-
CZ	LubomirMetnar.1967	minister	2017-12-13T14:00:00	2018-06-27T00:00:00	government.VladaCR.1338	-	Ministr vnitra	Minister of the Interior	-	-
CZ	LubomirZaoralek.1956	minister	2019-08-27T13:00:00	2021-12-17T11:00:00	government.VladaCR.1494	-	Ministr kultury	Minister of Culture	-	-
CZ	LubomirZaoralek.1956	minister	2014-01-29T00:00:00	2017-12-13T00:00:00	government.VladaCR.1164	-	Ministr zahraničních věcí	Minister of Foreign Affairs	-	-
