Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth	Topic
ParlaMint-BE_2020-06-17-55-commissie-ic210x	ParlaMint-BE_2020-06-17-55-commissie-ic210x.u1	Belgian parliamentary corpus ParlaMint-BE, committee meeting of 17-06-2020	2020-06-17	Committee	Zittingperiode 55	-	-	-	-	COVID	Dutch	Regular	MP	notMinister	VB	Vlaams Belang	Opposition	Right to far-right	PonthierAnnick	Ponthier, Annick	F	1971	Defense
ParlaMint-BE_2020-06-17-55-commissie-ic210x	ParlaMint-BE_2020-06-17-55-commissie-ic210x.u2	Belgian parliamentary corpus ParlaMint-BE, committee meeting of 17-06-2020	2020-06-17	Committee	Zittingperiode 55	-	-	-	-	COVID	Dutch	Regular	notMP	notMinister	-	-	-	-	MahdiSammy	Mahdi, Sammy	M	1988	Defense
ParlaMint-BE_2020-06-17-55-commissie-ic210x	ParlaMint-BE_2020-06-17-55-commissie-ic210x.u89	Belgian parliamentary corpus ParlaMint-BE, committee meeting of 17-06-2020	2020-06-17	Committee	Zittingperiode 55	-	-	-	-	COVID	French	Regular	MP	notMinister	MR	Mouvement Réformateur	Coalition	Centre-right	BombledChristophe	Bombled, Christophe	M	1973	Other
ParlaMint-BE_2020-06-17-55-commissie-ic210x	ParlaMint-BE_2020-06-17-55-commissie-ic210x.u90	Belgian parliamentary corpus ParlaMint-BE, committee meeting of 17-06-2020	2020-06-17	Committee	Zittingperiode 55	-	-	-	-	COVID	Dutch	Chairperson	MP	notMinister	N-VA	Nieuw-Vlaamse Alliantie	Opposition	Centre-right to right	BuysroggePeter	Buysrogge, Peter	M	1976	Other
