country	pm_id	lr	url	comment
IT	ALA-PRI	C	https://en.wikipedia.org/wiki/Liberal_Popular_Alliance	-
IT	ALA	C	https://en.wikipedia.org/wiki/Liberal_Popular_Alliance	-
IT	AL-A	C	https://en.wikipedia.org/wiki/Liberal_Popular_Alliance	-
IT	AL-A (MpA)	C	https://en.wikipedia.org/wiki/Liberal_Popular_Alliance	-
IT	AP-CpE-NCD	-	-	-
IT	AP (NCD-UDC)	CR	https://en.wikipedia.org/wiki/Popular_Area	-
IT	Art.1-MDP	CLL	https://en.wikipedia.org/wiki/Article_One_(political_party)	-
IT	CAL-Alt-Pc-Idv	L	https://it.wikipedia.org/wiki/Uniti_per_la_Costituzione-C.A.L._(Costituzione,_Ambiente,_Lavoro)	Parliamentary group
IT	CAL-Pc-Idv	L	https://it.wikipedia.org/wiki/Uniti_per_la_Costituzione-C.A.L._(Costituzione,_Ambiente,_Lavoro)	Parliamentary group
IT	CoR	CR	https://en.wikipedia.org/wiki/Conservatives_and_Reformists_(Italy)	-
IT	CRi	-	-	-
IT	EU-MAIE-CD	C	https://it.wikipedia.org/wiki/Europeisti-MAIE-Centro_Democratico	Parliamentary group
IT	FL (Id-PL, PLI)	CR	https://it.wikipedia.org/wiki/Federazione_della_Libertà	-
IT	FIBP-UDC	CR	https://en.wikipedia.org/wiki/Forza_Italia	-
IT	FI-BP	CR	https://en.wikipedia.org/wiki/Forza_Italia	-
IT	FI-PdL XVII	CR	https://en.wikipedia.org/wiki/Forza_Italia	-
IT	FdI	RRF	https://en.wikipedia.org/wiki/Brothers_of_Italy	-
IT	GAL	CR	https://en.wikipedia.org/wiki/Great_Autonomies_and_Freedom	-
IT	GAL (DI, Id, GS, M, MPL, RI, E-E)	CR	https://en.wikipedia.org/wiki/Great_Autonomies_and_Freedom	-
IT	GAL (GS, LA-nS, MpA, NPSI, PpI)	CR	https://en.wikipedia.org/wiki/Great_Autonomies_and_Freedom	-
IT	GAL (GS, LA-nS, MpA, NPSI, PpI, IdV, VGF)	CR	https://en.wikipedia.org/wiki/Great_Autonomies_and_Freedom	-
IT	GAL (GS, MpA, NPSI, PpI, IdV, VGF, FV)	CR	https://en.wikipedia.org/wiki/Great_Autonomies_and_Freedom	-
IT	GAL (GS, PpI, FV, M)	CR	https://en.wikipedia.org/wiki/Great_Autonomies_and_Freedom	-
IT	GAL (GS, PpI, FV, M, MBI, Id)	CR	https://en.wikipedia.org/wiki/Great_Autonomies_and_Freedom	-
IT	GAL (GS, PpI, M, Id, E-E, MPL, RI)	CR	https://en.wikipedia.org/wiki/Great_Autonomies_and_Freedom	-
IT	GAL (GS, PpI, M, Id, E-E, MPL)	CR	https://en.wikipedia.org/wiki/Great_Autonomies_and_Freedom	-
IT	GAL (GS, PpI, M, MBI, Id, E-E)	CR	https://en.wikipedia.org/wiki/Great_Autonomies_and_Freedom	-
IT	GAL-UDC	CR	https://en.wikipedia.org/wiki/Great_Autonomies_and_Freedom	-
IT	PdL	CR	https://en.wikipedia.org/wiki/The_People_of_Freedom	-
IT	IpF-CD	C	https://en.wikipedia.org/wiki/Democratic_Centre_(Italy) https://en.wikipedia.org/wiki/Together_for_the_Future	Parliamentary group
IT	IV-PSI	CCL	https://en.wikipedia.org/wiki/Italia_Viva	-
IT	LN-Aut	RRF	https://en.wikipedia.org/wiki/Lega_Nord	-
IT	L-SP	RRF	https://en.wikipedia.org/wiki/Lega_(political_party)	-
IT	L-SP-PSd'Az	RRF	https://en.wikipedia.org/wiki/Lega_(political_party)	-
IT	Misto	-	-	-
IT	M5S.2	BT	https://en.wikipedia.org/wiki/Five_Star_Movement	-
IT	M5S.1	BT	https://en.wikipedia.org/wiki/Five_Star_Movement	-
IT	NcI	CR	https://en.wikipedia.org/wiki/Us_with_Italy	-
IT	NCD	CCR	https://en.wikipedia.org/wiki/New_Centre-Right	-
IT	PD	CL	https://en.wikipedia.org/wiki/Democratic_Party_(Italy)	-
IT	PI	FR	https://en.wikipedia.org/wiki/Italexit_(political_party)	-
IT	Aut (SVP, UV, PATT, UPT) - PSI	CCL	https://en.wikipedia.org/wiki/For_the_Autonomies	-
IT	Aut (SVP-PATT, UV)	CCL	https://en.wikipedia.org/wiki/For_the_Autonomies	-
IT	Aut (SVP, UV, PATT, UPT)-PSI-MAIE	CCL	https://en.wikipedia.org/wiki/For_the_Autonomies	-
IT	SCpI	C	https://en.wikipedia.org/wiki/Civic_Choice	-
