INFO: For BE assigned states to 51 out of 66 orgs. CHES = 27, Wiki = 51, unknown = 20, CHES + Wiki = 27, Wiki only = 24, CHES only = 0
INFO: For BG assigned states to 36 out of 39 orgs. CHES = 9, Wiki = 36, unknown = 0, CHES + Wiki = 9, Wiki only = 27, CHES only = 0
INFO: For CZ assigned states to 30 out of 33 orgs. CHES = 24, Wiki = 25, unknown = 0, CHES + Wiki = 19, Wiki only = 6, CHES only = 5
INFO: For DK assigned states to 18 out of 19 orgs. CHES = 10, Wiki = 18, unknown = 0, CHES + Wiki = 10, Wiki only = 8, CHES only = 0
INFO: For FR assigned states to 23 out of 26 orgs. CHES = 6, Wiki = 23, unknown = 0, CHES + Wiki = 6, Wiki only = 17, CHES only = 0
INFO: For GB assigned states to 23 out of 34 orgs. CHES = 7, Wiki = 23, unknown = 0, CHES + Wiki = 7, Wiki only = 16, CHES only = 0
INFO: For HR assigned states to 36 out of 45 orgs. CHES = 16, Wiki = 35, unknown = 0, CHES + Wiki = 15, Wiki only = 20, CHES only = 1
INFO: For IS assigned states to 9 out of 9 orgs. CHES = 8, Wiki = 8, unknown = 0, CHES + Wiki = 7, Wiki only = 1, CHES only = 1
INFO: For IT assigned states to 28 out of 45 orgs. CHES = 11, Wiki = 27, unknown = 0, CHES + Wiki = 10, Wiki only = 17, CHES only = 1
INFO: For LV assigned states to 11 out of 11 orgs. CHES = 8, Wiki = 11, unknown = 0, CHES + Wiki = 8, Wiki only = 3, CHES only = 0
INFO: For NL assigned states to 27 out of 35 orgs. CHES = 15, Wiki = 27, unknown = 0, CHES + Wiki = 15, Wiki only = 12, CHES only = 0
INFO: For PL assigned states to 7 out of 9 orgs. CHES = 3, Wiki = 7, unknown = 0, CHES + Wiki = 3, Wiki only = 4, CHES only = 0
INFO: For SI assigned states to 26 out of 29 orgs. CHES = 22, Wiki = 26, unknown = 0, CHES + Wiki = 22, Wiki only = 4, CHES only = 0
INFO: For TR assigned states to 45 out of 47 orgs. CHES = 10, Wiki = 45, unknown = 0, CHES + Wiki = 10, Wiki only = 35, CHES only = 0
